,Produk,Rating,Ulasan,Tanggal,label
0,POLYTRON Smart Cinemax Soundbar TV 32 inch PLD 32BAG9858,5,enjoy aman,Hari ini,1
1,POLYTRON Mesin Cuci 1 Tabung 8 KG PAW 8029Y,1,"belum genap 1 tahun mesin cuci sudah eror.  
laporan ke service centre tidak kunjung datang teknisinya.  no laporan saya case/skm/24/02/08/000005 by the way. ",Hari ini,1
2,POLYTRON Smart Cinemax Android TV 32 inch PLD 32TAG9855,5,"barang bagus,  garansi mantap 5 tahun",Hari ini,1
3,"POLYTRON Cinemax Soundbar DIGITAL LED TV 32"" PLD 32BV1558",5,"paket sudah saya terima dalam kondisi baik dan sudah dicoba. . .  semuanya normal.  
semoga awet. ",Hari ini,1
4,POLYTRON Rice Cooker Donabe 2 Liter PRC 1201,5,"barang berfungsi dengan baik. 
stelah datang,  barang dibuat masak nasi berfungsi normal dengan hasil nasi yang baik ( tergantung beras ). 

karena sebelumnya pernah beli di. . .  ",Hari ini,1
5,POLYTRON Bluetooth Speaker PMA 9321 /B,5,"pengiriman cepat.  speaker berfungsi normal.  suara bagus,  ada pengaturan bass dan trebel.  bisa pakai kabel aux dan rca.  semoga awet. ",Hari ini,1
6,POLYTRON Multimedia Speaker PMA 9527 /BA,5,"kurir ok,  seller ok,  barang ok.  terima kasih. ",Hari ini,1
7,"POLYTRON SMART DIGITAL TV 32""  PLD 32CV1869",5,terima kasih ya,1 hari lalu,1
8,POLYTRON Bluetooth Speaker PMA 9310 /BG,1,order tgl 4 feb dikirim tgl 16 feb itu pun karna tgl 16 saya ajukan komplain ke tokped. .  bener² memalukan 👎👎👎👎👎 cukup sekali ini aj belanja dsini,1 hari lalu,1
9,POLYTRON Mesin Cuci 2 Tabung Giant Series Hijab 8 KG PWM 8076,5,cakep,1 hari lalu,1
10,Polytron AC SMART Neuva Pro SMART AC 1/2 PK PAC 05VZS,5,"udah dipake hampir 3 bulan,  oke super dingin buat kamar ukuran 3. 25 x 3m. . kadang buka kamar biar dinginnya smpe ke ruang tamu haha",1 hari lalu,1
11,POLYTRON Smart Projector - PLP 91LFA 120 Inch FHD,5,masalah cuman di pengiriman barang aman,1 hari lalu,1
