,Unnamed: 0,Produk,Rating,Ulasan,Tanggal,label,Cleaning
0,0,POLYTRON Smart Cinemax Soundbar TV 32 inch PLD 32BAG9858,5,enjoy aman,Hari ini,1,enjoy aman
1,1,POLYTRON Mesin Cuci 1 Tabung 8 KG PAW 8029Y,1,"belum genap 1 tahun mesin cuci sudah eror.  
laporan ke service centre tidak kunjung datang teknisinya.  no laporan saya case/skm/24/02/08/000005 by the way. ",Hari ini,1,belum genap tahun mesin cuci sudah eror laporan ke service centre tidak kunjung datang teknisinya no laporan saya by the way
2,2,POLYTRON Smart Cinemax Android TV 32 inch PLD 32TAG9855,5,"barang bagus,  garansi mantap 5 tahun",Hari ini,1,barang bagus garansi mantap tahun
3,3,"POLYTRON Cinemax Soundbar DIGITAL LED TV 32"" PLD 32BV1558",5,"paket sudah saya terima dalam kondisi baik dan sudah dicoba. . .  semuanya normal.  
semoga awet. ",Hari ini,1,paket sudah saya terima dalam kondisi baik dan sudah dicoba semuanya normal semoga awet
4,4,POLYTRON Rice Cooker Donabe 2 Liter PRC 1201,5,"barang berfungsi dengan baik. 
stelah datang,  barang dibuat masak nasi berfungsi normal dengan hasil nasi yang baik ( tergantung beras ). 

karena sebelumnya pernah beli di. . .  ",Hari ini,1,barang berfungsi dengan baik stelah datang barang dibuat masak nasi berfungsi normal dengan hasil nasi yang baik tergantung beras karena sebelumnya pernah beli di
5,5,POLYTRON Bluetooth Speaker PMA 9321 /B,5,"pengiriman cepat.  speaker berfungsi normal.  suara bagus,  ada pengaturan bass dan trebel.  bisa pakai kabel aux dan rca.  semoga awet. ",Hari ini,1,pengiriman cepat speaker berfungsi normal suara bagus ada pengaturan bass dan trebel bisa pakai kabel aux dan rca semoga awet
6,6,POLYTRON Multimedia Speaker PMA 9527 /BA,5,"kurir ok,  seller ok,  barang ok.  terima kasih. ",Hari ini,1,kurir ok seller ok barang ok terima kasih
7,7,"POLYTRON SMART DIGITAL TV 32""  PLD 32CV1869",5,terima kasih ya,1 hari lalu,1,terima kasih ya
8,8,POLYTRON Bluetooth Speaker PMA 9310 /BG,1,order tgl 4 feb dikirim tgl 16 feb itu pun karna tgl 16 saya ajukan komplain ke tokped. .  bener² memalukan 👎👎👎👎👎 cukup sekali ini aj belanja dsini,1 hari lalu,1,order tgl feb dikirim tgl feb itu pun karna tgl saya ajukan komplain ke tokped bener memalukan cukup sekali ini aj belanja dsini
9,9,POLYTRON Mesin Cuci 2 Tabung Giant Series Hijab 8 KG PWM 8076,5,cakep,1 hari lalu,1,cakep
10,10,Polytron AC SMART Neuva Pro SMART AC 1/2 PK PAC 05VZS,5,"udah dipake hampir 3 bulan,  oke super dingin buat kamar ukuran 3. 25 x 3m. . kadang buka kamar biar dinginnya smpe ke ruang tamu haha",1 hari lalu,1,udah dipake hampir bulan oke super dingin buat kamar ukuran kadang buka kamar biar dinginnya smpe ke ruang tamu haha
11,11,POLYTRON Smart Projector - PLP 91LFA 120 Inch FHD,5,masalah cuman di pengiriman barang aman,1 hari lalu,1,masalah cuman di pengiriman barang aman
12,12,POLYTRON Mesin Cuci 2 Tabung Giant Series Hijab 8 KG PWM 8076,1,"slow respon
membatalkan secara sepihak
semoga kena suspend dr tokopedia",1 hari lalu,1,slow respon membatalkan secara sepihak semoga kena suspend dr tokopedia
13,13,POLYTRON Bluetooth Speaker PMA 9321 /B,5,"sangat puas , , ,  barang sesuai budged",1 hari lalu,1,sangat puas barang sesuai budged
14,14,POLYTRON Mesin Cuci Front Loading 100% Kering Inverter 11 KG PFL 1105,5,"mantappp.  cucian bener2 kering.  yg ngirim kurir dari polytron langsung.  tapi sayangnya lama sampe seminggu. 

petunjuk pemasangan cukup jelas. ",1 hari lalu,1,mantappp cucian bener kering yg ngirim kurir dari polytron langsung tapi sayangnya lama sampe seminggu petunjuk pemasangan cukup jelas
15,15,POLYTRON Active Speaker PAS 8FF22,5,mantap barang normal,2 hari lalu,1,mantap barang normal
16,16,POLYTRON Mesin Cuci 2 Tabung Primadona Samba 8 Kg PWM 8072,5,barang original.  pengiraman cepat.  kurir ramah.  kerdus diterima kondisi baik,2 hari lalu,1,barang original pengiraman cepat kurir ramah kerdus diterima kondisi baik
17,17,POLYTRON Active Speaker PAS 10D28,5,beli speaker aktif ya yg jelas jelas aja lah. . .  polytron the winning theme. . . ,2 hari lalu,1,beli speaker aktif ya yg jelas jelas aja lah polytron the winning theme
18,18,Polytron Speaker PPB C05A6,5,suaranya mantap 🔊 desain elegan bahannya kokoh respon penjualnya top,2 hari lalu,1,suaranya mantap desain elegan bahannya kokoh respon penjualnya top
19,19,POLYTRON Smart Cinemax Soundbar TV 32 inch PLD 32BAG9858,5,produk lokal mantap,2 hari lalu,1,produk lokal mantap
20,20,POLYTRON Mesin Cuci 2 Tabung Primadona Giant 9 Kg PWM 9072,5,bisa muat banyak barangnya original 👍 gampang dipakai hemat listrik ⚡ desainnya elegan ✨ packaging aman 🙏,2 hari lalu,1,bisa muat banyak barangnya original gampang dipakai hemat listrik desainnya elegan packaging aman
21,21,POLYTRON Mesin Cuci Front Loading 100% Kering Inverter 11 KG PFL 1105,5,"barang telah sampai,  pelayanan cepat dan barang nya aman. ",3 hari lalu,1,barang telah sampai pelayanan cepat dan barang nya aman
22,22,POLYTRON 4K UHD Smart Cinemax Soundbar Google TV 43 Inch PLD 43BUG5959,5,"barang telah sampai,  pelayanan cepat dan barang nya aman. ",3 hari lalu,1,barang telah sampai pelayanan cepat dan barang nya aman
23,23,POLYTRON Kulkas 1 Pintu Belleza Varia 150 liter PRA 15DRX,4,"barang dikirim tepat waktu,  admin responsif.  ada barang yang cacat tapi urusan gampang melalui cs nyaa.  terimakasih",3 hari lalu,1,barang dikirim tepat waktu admin responsif ada barang yang cacat tapi urusan gampang melalui cs nyaa terimakasih
24,24,POLYTRON Mesin Cuci 1 Tabung Zeromatic series Hijab 7.5 KG PAW 7527,5,alhamdulillah sudah datang keren banget pokonya terimakasih seller and kurir,3 hari lalu,1,alhamdulillah sudah datang keren banget pokonya terimakasih seller and kurir
