Nama Pengguna,Produk,Rating,Ulasan,Tanggal
Muhamad,Cosmos Food Processor FP-323 KUBA NEW PRODUK,bintang 5,"berfungsi dengan baik, built quality bagus",Hari ini
Endjah,Cosmos 16-SDB - Kipas Angin / Stand Fan 16 inch,bintang 5,"barang original pengiriman dikemas dengan sangat baik, perakitan mudah dan unit berfungsi dengan baik semoga awet serta mudah pengurusan garansi, terimakasih Cosmos",Hari ini
Martin,Cosmos 16-XDC - Kipas Angin / Stand Fan 16 inch,bintang 4,"Barang sudah diterima dengan baik.
akan lebih baik lagi bila disertakan petunjuk cara pemasangan yg lebih rinci supaya lebih mudah dalam perakitan.",Hari ini
A***y,Cosmos Setrika Listrik CI-3110 C,bintang 3,Produk bergaransi sesuai deskripsi. Hanya proses dr produk dipesan sampai akhirnya dikirim lamaaaaaa pakai banget. Beli tgl 7 Feb baru masuk proses kirim tgl 13 Feb. Dan... ,2 hari lalu
K***a,Cosmos TBF-1802 - Kipas Angin / Stand Fan 18 Inch,bintang 5,Garansi terjamin Gampang dirakit Hemat listrik ⚡,2 hari lalu
Alicia,SPCBWETMILL001BLACKsuku cadang blender,bintang 5,"Suku cadang ok, berfungsi baik.",2 hari lalu
Y***y,Cosmos CB-282 G - Blender 2 L,bintang 5,"Produk sesuai dg deskripsi, proses kirim jg cepat",2 hari lalu
Y***i,Cosmos CGC-123 P RED - Kompor Portable 1.45 Kg 1 Tungku NEW Looks,bintang 5,"Terimakasih, produk sudah dites dengan gas kaleng, semoga awet dan tahan lama.",2 hari lalu
Eko,Cosmos Blenz CB-812 PC - Blender 2 L (Goblet Plastik) Plus Choper,bintang 1,"seller mengecewakan pokoknya. saya pesen dan bayar tgl 8 feb, direspon seller baru tgl 13 feb.barang sampe rumah baru tgl 16 feb, padahal seller di jakbar saya dibintaro... ",2 hari lalu
Y***i,Cosmos CM-1659 - Hand Mixer,bintang 1,"Operasional toko tutup, tetapi tetap menerima order dan tidak bisa di batalkan, pengiriman sesama satu kota sampai 1 minggu, lebih lama dari beli dari luar pulau. janji t... ",3 hari lalu
Rieski,Cosmos 16-XDC - Kipas Angin / Stand Fan 16 inch,bintang 5,"pengiriman cepat, baik semoga ga ada kendala jikalau ada garansi harus masih bisa digunakan",3 hari lalu
Supriyono,Cosmos CRJ-9303 - Rice Cooker 2 L,bintang 5,barang bagus sesuai dengan dèskripsi,3 hari lalu
Syakhral,Cosmos Standing  Fan 16 SAE  ( 16 INCH),bintang 5,manntap min,3 hari lalu
Steven,Cosmos Food Processor FP-323 KUBA NEW PRODUK,bintang 3,biasa aja tenaganya,3 hari lalu
Muhammad,Cosmos NEW AIR FRYER CAF-6603,bintang 4,"Barang diterima dengan baik, build quality sedikit tidak pas antara wadah dengan body nya. Minus 1 bintang response CS lama mengakibatkan pengiriman lama juga diterima ba... ",3 hari lalu
f***z,WADESTA BESI SBF-1802 ,bintang 5,memang kipas angin cosmos wadesta hembusan anginnya beda,5 hari lalu
Bewok,Cosmos CO-9909 W - Oven 9 L,bintang 5,Video Unboxing & Review cek channel Y0utube Ardo Bewok,1 minggu lalu
Intan,Cosmos CRJ-1803 - Rice Cooker 1.2 L,bintang 5,"Barang sesuai dengan yg dipesan, coba langsung dipakai nyala oke mantap no minus semoga awet",1 minggu lalu
Dapur,Cosmos Blender - Big Capacity - CB-282 AP - 2 liter,bintang 5,Sip sesuai pesanan.,1 minggu lalu
H***a,Cosmos CGC-123 P RED - Kompor Portable 1.45 Kg 1 Tungku NEW Looks,bintang 5,"Kualitas produk bagus sesuai dengan yang diiklankan, pelayanan ramah dan responsif, pengiriman cepat dengan packing yang rapi",1 minggu lalu
G***g,New Mixer STAND CM 1669 COSMIX,bintang 5,oke original langsung dari pabrik Cosmo nya,1 minggu lalu
A***i,Cosmos CTL-211 - Ketel Elektrik 0.8 L,bintang 5,sesuai harapan,1 minggu lalu
D***y,Cosmos CTL-210 - Ketel Elektrik 1.2 L BLACK,bintang 5,Kettle berfungsi dengan Baik,1 minggu lalu
