Tanggal,Produk,Ulasan,label,Cleaning,Tokenizing,Normalisasi,Stopword,Stemming,text
Hari ini,POLYTRON Smart Cinemax Soundbar TV 32 inch PLD 32BAG9858,enjoy aman,1,enjoy aman,"['enjoy', 'aman']","['enjoy', 'aman']",['aman'],['aman'],aman
Hari ini,POLYTRON Mesin Cuci 1 Tabung 8 KG PAW 8029Y,"belum genap 1 tahun mesin cuci sudah eror.  
laporan ke service centre tidak kunjung datang teknisinya.  no laporan saya case/skm/24/02/08/000005 by the way. ",0,belum genap tahun mesin cuci sudah eror laporan ke service centre tidak kunjung datang teknisinya no laporan saya caseskm by the way,"['belum', 'genap', 'tahun', 'mesin', 'cuci', 'sudah', 'eror', 'laporan', 'ke', 'service', 'centre', 'tidak', 'kunjung', 'datang', 'teknisinya', 'no', 'laporan', 'saya', 'caseskm', 'by', 'the', 'way']","['belum', 'genap', 'tahun', 'mesin', 'cuci', 'sudah', 'eror', 'laporan', 'ke', 'service', 'centre', 'tidak', 'kunjung', 'datang', 'teknisinya', 'no', 'laporan', 'saya', 'caseskm', 'by', 'the', 'way']","['genap', 'mesin', 'cuci', 'eror', 'laporan', 'centre', 'tidak', 'kunjung', 'teknisinya', 'laporan', 'caseskm']","['genap', 'mesin', 'cuci', 'eror', 'lapor', 'centre', 'tidak', 'kunjung', 'teknisi', 'lapor', 'caseskm']",genap mesin cuci eror lapor centre tidak kunjung teknisi lapor caseskm
Hari ini,POLYTRON Smart Cinemax Android TV 32 inch PLD 32TAG9855,"barang bagus,  garansi mantap 5 tahun",1,barang bagus garansi mantap tahun,"['barang', 'bagus', 'garansi', 'mantap', 'tahun']","['barang', 'bagus', 'garansi', 'mantap', 'tahun']","['barang', 'bagus', 'garansi', 'mantap']","['barang', 'bagus', 'garansi', 'mantap']",barang bagus garansi mantap
Hari ini,"POLYTRON Cinemax Soundbar DIGITAL LED TV 32"" PLD 32BV1558","paket sudah saya terima dalam kondisi baik dan sudah dicoba. . .  semuanya normal.  
semoga awet. ",1,paket sudah saya terima dalam kondisi baik dan sudah dicoba semuanya normal semoga awet,"['paket', 'sudah', 'saya', 'terima', 'dalam', 'kondisi', 'baik', 'dan', 'sudah', 'dicoba', 'semuanya', 'normal', 'semoga', 'awet']","['paket', 'sudah', 'saya', 'terima', 'dalam', 'kondisi', 'baik', 'dan', 'sudah', 'dicoba', 'semuanya', 'normal', 'semoga', 'awet']","['paket', 'terima', 'kondisi', 'dicoba', 'semoga', 'awet']","['paket', 'terima', 'kondisi', 'coba', 'moga', 'awet']",paket terima kondisi coba moga awet
Hari ini,POLYTRON Rice Cooker Donabe 2 Liter PRC 1201,"barang berfungsi dengan baik. 
stelah datang,  barang dibuat masak nasi berfungsi normal dengan hasil nasi yang baik ( tergantung beras ). 

karena sebelumnya pernah beli di. . .  ",1,barang berfungsi dengan baik stelah datang barang dibuat masak nasi berfungsi normal dengan hasil nasi yang baik tergantung beras karena sebelumnya pernah beli di,"['barang', 'berfungsi', 'dengan', 'baik', 'stelah', 'datang', 'barang', 'dibuat', 'masak', 'nasi', 'berfungsi', 'normal', 'dengan', 'hasil', 'nasi', 'yang', 'baik', 'tergantung', 'beras', 'karena', 'sebelumnya', 'pernah', 'beli', 'di']","['barang', 'berfungsi', 'dengan', 'baik', 'setelah', 'datang', 'barang', 'dibuat', 'masak', 'nasi', 'berfungsi', 'normal', 'dengan', 'hasil', 'nasi', 'yang', 'baik', 'tergantung', 'beras', 'karena', 'sebelumnya', 'pernah', 'beli', 'di']","['barang', 'berfungsi', 'barang', 'masak', 'berfungsi', 'hasil', 'tergantung', 'beras', 'beli']","['barang', 'fungsi', 'barang', 'masak', 'fungsi', 'hasil', 'gantung', 'beras', 'beli']",barang fungsi barang masak fungsi hasil gantung beras beli
Hari ini,POLYTRON Bluetooth Speaker PMA 9321 /B,"pengiriman cepat.  speaker berfungsi normal.  suara bagus,  ada pengaturan bass dan trebel.  bisa pakai kabel aux dan rca.  semoga awet. ",1,pengiriman cepat speaker berfungsi normal suara bagus ada pengaturan bass dan trebel bisa pakai kabel aux dan rca semoga awet,"['pengiriman', 'cepat', 'speaker', 'berfungsi', 'normal', 'suara', 'bagus', 'ada', 'pengaturan', 'bass', 'dan', 'trebel', 'bisa', 'pakai', 'kabel', 'aux', 'dan', 'rca', 'semoga', 'awet']","['pengiriman', 'cepat', 'speaker', 'berfungsi', 'normal', 'suara', 'bagus', 'ada', 'pengaturan', 'bass', 'dan', 'trebel', 'bisa', 'pakai', 'kabel', 'aux', 'dan', 'rca', 'semoga', 'awet']","['pengiriman', 'cepat', 'berfungsi', 'suara', 'bagus', 'pengaturan', 'trebel', 'pakai', 'aux', 'rca', 'semoga', 'awet']","['kirim', 'cepat', 'fungsi', 'suara', 'bagus', 'atur', 'trebel', 'pakai', 'aux', 'rca', 'moga', 'awet']",kirim cepat fungsi suara bagus atur trebel pakai aux rca moga awet
Hari ini,POLYTRON Multimedia Speaker PMA 9527 /BA,"kurir ok,  seller ok,  barang ok.  terima kasih. ",1,kurir ok seller ok barang ok terima kasih,"['kurir', 'ok', 'seller', 'ok', 'barang', 'ok', 'terima', 'kasih']","['kurir', 'ok', 'seller', 'ok', 'barang', 'ok', 'terima', 'kasih']","['kurir', 'ok', 'ok', 'barang', 'ok', 'terima', 'kasih']","['kurir', 'ok', 'ok', 'barang', 'ok', 'terima', 'kasih']",kurir ok ok barang ok terima kasih
1 hari lalu,"POLYTRON SMART DIGITAL TV 32""  PLD 32CV1869",terima kasih ya,1,terima kasih ya,"['terima', 'kasih', 'ya']","['terima', 'kasih', 'ya']","['terima', 'kasih']","['terima', 'kasih']",terima kasih
1 hari lalu,POLYTRON Bluetooth Speaker PMA 9310 /BG,order tgl 4 feb dikirim tgl 16 feb itu pun karna tgl 16 saya ajukan komplain ke tokped. .  bener² memalukan 👎👎👎👎👎 cukup sekali ini aj belanja dsini,0,order tgl feb dikirim tgl feb itu pun karna tgl saya ajukan komplain ke tokped bener memalukan cukup sekali ini aj belanja dsini,"['order', 'tgl', 'feb', 'dikirim', 'tgl', 'feb', 'itu', 'pun', 'karna', 'tgl', 'saya', 'ajukan', 'komplain', 'ke', 'tokped', 'bener', 'memalukan', 'cukup', 'sekali', 'ini', 'aj', 'belanja', 'dsini']","['order', 'tanggal', 'feb', 'dikirim', 'tanggal', 'feb', 'itu', 'pun', 'karena', 'tanggal', 'saya', 'sajaukan', 'komplain', 'ke', 'tokped', 'benar', 'memalukan', 'cukup', 'sekali', 'ini', 'saja', 'belanja', 'disini']","['tanggal', 'feb', 'dikirim', 'tanggal', 'feb', 'tanggal', 'sajaukan', 'komplain', 'tokped', 'memalukan', 'belanja']","['tanggal', 'feb', 'kirim', 'tanggal', 'feb', 'tanggal', 'sajaukan', 'komplain', 'tokped', 'malu', 'belanja']",tanggal feb kirim tanggal feb tanggal sajaukan komplain tokped malu belanja
1 hari lalu,POLYTRON Mesin Cuci 2 Tabung Giant Series Hijab 8 KG PWM 8076,cakep,1,cakep,['cakep'],['cakep'],['cakep'],['cakep'],cakep
1 hari lalu,Polytron AC SMART Neuva Pro SMART AC 1/2 PK PAC 05VZS,"udah dipake hampir 3 bulan,  oke super dingin buat kamar ukuran 3. 25 x 3m. . kadang buka kamar biar dinginnya smpe ke ruang tamu haha",1,udah dipake hampir bulan oke super dingin buat kamar ukuran kadang buka kamar biar dinginnya smpe ke ruang tamu haha,"['udah', 'dipake', 'hampir', 'bulan', 'oke', 'super', 'dingin', 'buat', 'kamar', 'ukuran', 'kadang', 'buka', 'kamar', 'biar', 'dinginnya', 'smpe', 'ke', 'ruang', 'tamu', 'haha']","['sudah', 'dipakai', 'hampir', 'bulan', 'oke', 'super', 'dingin', 'buat', 'kamar', 'ukuran', 'kadang', 'buka', 'kamar', 'biar', 'dinginnya', 'sampai', 'ke', 'ruang', 'tamu', 'haha']","['dipakai', 'oke', 'dingin', 'kamar', 'ukuran', 'kadang', 'buka', 'kamar', 'biar', 'dinginnya', 'ruang', 'tamu', 'haha']","['pakai', 'oke', 'dingin', 'kamar', 'ukur', 'kadang', 'buka', 'kamar', 'biar', 'dingin', 'ruang', 'tamu', 'haha']",pakai oke dingin kamar ukur kadang buka kamar biar dingin ruang tamu haha
1 hari lalu,POLYTRON Smart Projector - PLP 91LFA 120 Inch FHD,masalah cuman di pengiriman barang aman,1,masalah cuman di pengiriman barang aman,"['masalah', 'cuman', 'di', 'pengiriman', 'barang', 'aman']","['masalah', 'cuman', 'di', 'pengiriman', 'barang', 'aman']","['cuman', 'pengiriman', 'barang', 'aman']","['cuman', 'kirim', 'barang', 'aman']",cuman kirim barang aman
1 hari lalu,POLYTRON Mesin Cuci 2 Tabung Giant Series Hijab 8 KG PWM 8076,"slow respon
membatalkan secara sepihak
semoga kena suspend dr tokopedia",0,slow respon membatalkan secara sepihak semoga kena suspend dr tokopedia,"['slow', 'respon', 'membatalkan', 'secara', 'sepihak', 'semoga', 'kena', 'suspend', 'dr', 'tokopedia']","['slow', 'respon', 'membatalkan', 'secara', 'sepihak', 'semoga', 'kena', 'suspend', 'dari', 'tokopedia']","['respon', 'membatalkan', 'semoga', 'kena', 'tokopedia']","['respon', 'batal', 'moga', 'kena', 'tokopedia']",respon batal moga kena tokopedia
1 hari lalu,POLYTRON Bluetooth Speaker PMA 9321 /B,"sangat puas , , ,  barang sesuai budged",1,sangat puas barang sesuai budged,"['sangat', 'puas', 'barang', 'sesuai', 'budged']","['sangat', 'puas', 'barang', 'sesuai', 'budged']","['puas', 'barang', 'sesuai', 'budged']","['puas', 'barang', 'sesuai', 'budged']",puas barang sesuai budged
