Nama Pengguna,Produk,Rating,Ulasan,Tanggal
Rahayu,Maspion Mikado Panci Summer DH Tutup Alumunium - Dutch Oven Alumunium,bintang 4,"berharap merah datang pink, but it's ok",5 hari lalu
A***i,Maspion Beta Organiser Case - Tempat Alat Tulis Kantor,bintang 5,"warna abu”…di foto warna kream…
barang sesuai deskripsi…pengiriman cepat..👍🏻",5 hari lalu
A***e,Maspion Wajan 40 cm with Tempura Rack - Penggorengan Stainless Steel,bintang 3,ok,1 minggu lalu
Adi,Maspion Tower Fan TF-04 S,bintang 5,cakepp... berfungsi dengan baik...,1 minggu lalu
J***y,Maspion Stand Fan 16 Inch F - 412 S,bintang 5,ok,1 minggu lalu
I***N,Maspion Setrika EX-1010 Blackberry (Hitam),bintang 5,"barangnya original ada garansi juga, mudah digunakan pengiriman aman.",1 minggu lalu
Tessa,Maspion Kompor Gas MKG 201 SSHF (STAINLESS STEEL HYPER FLAME),bintang 5,sudah pasti original,1 minggu lalu
H***i,Maspion Desk Fan 12 Inch EF-30 P2,bintang 5,bagus adem,1 minggu lalu
H***i,Maspion Blender + Mill Dry + Wet Mill MT-1263GL,bintang 5,"mantep, bahan nya tebel",1 minggu lalu
Pandu,Maspion Setrika EX-1010 Blackberry (Hitam),bintang 3,indikator lampunya ga bisa dipasang krn pengaitnya pecah satu. yah ada harga ada kualitas,1 minggu lalu
K***i,Maspion Setrika HA 370,bintang 5,barang nya ok cmn packing nya kurang,1 minggu lalu
R***e,MASPION MAGIC COM RICE COOKER MRJ 0623 BSSS (0.6L),bintang 5,"Harga bersaing
kwalitas tak tersaingi",1 minggu lalu
Rogo,Maspion Setrika EX-1010 Blackberry (Hitam),bintang 5,"Barang tidak mengecewakan,luar biasa",1 minggu lalu
F***a,Maspion Desk Fan 6 Inch HF-606,bintang 4,"Ternyata kipas nya kecil banget di kirain besar tapi lumayan kenceng ,hanya ada 1 kali pencet annya dan tdk bisa diatur besar kecilnya putaran kipas,smoga awet",1 minggu lalu
E***i,Maspion Logam Jawa Panci Fitri  - Saucepan Alumunium,bintang 5,Material Produk Bagus Ukuran Produk Sesuai Produk Original Kualitas Produk Bagus,1 minggu lalu
