Tanggal,Produk,Ulasan,Cleaning,Tokenizing,Normalisasi
Hari ini,POLYTRON Smart Cinemax Soundbar TV 32 inch PLD 32BAG9858,enjoy aman,enjoy aman,"['enjoy', 'aman']","['enjoy', 'aman']"
Hari ini,POLYTRON Mesin Cuci 1 Tabung 8 KG PAW 8029Y,"belum genap 1 tahun mesin cuci sudah eror.  
laporan ke service centre tidak kunjung datang teknisinya.  no laporan saya case/skm/24/02/08/000005 by the way. ",belum genap tahun mesin cuci sudah eror laporan ke service centre tidak kunjung datang teknisinya no laporan saya caseskm by the way ,"['belum', 'genap', 'tahun', 'mesin', 'cuci', 'sudah', 'eror', 'laporan', 'ke', 'service', 'centre', 'tidak', 'kunjung', 'datang', 'teknisinya', 'no', 'laporan', 'saya', 'caseskm', 'by', 'the', 'way', '']","['belum', 'genap', 'tahun', 'mesin', 'cuci', 'sudah', 'eror', 'laporan', 'ke', 'service', 'centre', 'tidak', 'kunjung', 'datang', 'teknisinya', 'no', 'laporan', 'saya', 'caseskm', 'by', 'the', 'way', '']"
Hari ini,POLYTRON Smart Cinemax Android TV 32 inch PLD 32TAG9855,"barang bagus,  garansi mantap 5 tahun",barang bagus garansi mantap tahun,"['barang', 'bagus', 'garansi', 'mantap', 'tahun']","['barang', 'bagus', 'garansi', 'mantap', 'tahun']"
Hari ini,"POLYTRON Cinemax Soundbar DIGITAL LED TV 32"" PLD 32BV1558","paket sudah saya terima dalam kondisi baik dan sudah dicoba. . .  semuanya normal.  
semoga awet. ",paket sudah saya terima dalam kondisi baik dan sudah dicoba semuanya normal semoga awet ,"['paket', 'sudah', 'saya', 'terima', 'dalam', 'kondisi', 'baik', 'dan', 'sudah', 'dicoba', 'semuanya', 'normal', 'semoga', 'awet', '']","['paket', 'sudah', 'saya', 'terima', 'dalam', 'kondisi', 'baik', 'dan', 'sudah', 'dicoba', 'semuanya', 'normal', 'semoga', 'awet', '']"
Hari ini,POLYTRON Rice Cooker Donabe 2 Liter PRC 1201,"barang berfungsi dengan baik. 
stelah datang,  barang dibuat masak nasi berfungsi normal dengan hasil nasi yang baik ( tergantung beras ). 

karena sebelumnya pernah beli di. . .  ",barang berfungsi dengan baik stelah datang barang dibuat masak nasi berfungsi normal dengan hasil nasi yang baik tergantung beras karena sebelumnya pernah beli di ,"['barang', 'berfungsi', 'dengan', 'baik', 'stelah', 'datang', 'barang', 'dibuat', 'masak', 'nasi', 'berfungsi', 'normal', 'dengan', 'hasil', 'nasi', 'yang', 'baik', 'tergantung', 'beras', 'karena', 'sebelumnya', 'pernah', 'beli', 'di', '']","['barang', 'berfungsi', 'dengan', 'baik', 'setelah', 'datang', 'barang', 'dibuat', 'masak', 'nasi', 'berfungsi', 'normal', 'dengan', 'hasil', 'nasi', 'yang', 'baik', 'tergantung', 'beras', 'karena', 'sebelumnya', 'pernah', 'beli', 'di', '']"
Hari ini,POLYTRON Bluetooth Speaker PMA 9321 /B,"pengiriman cepat.  speaker berfungsi normal.  suara bagus,  ada pengaturan bass dan trebel.  bisa pakai kabel aux dan rca.  semoga awet. ",pengiriman cepat speaker berfungsi normal suara bagus ada pengaturan bass dan trebel bisa pakai kabel aux dan rca semoga awet ,"['pengiriman', 'cepat', 'speaker', 'berfungsi', 'normal', 'suara', 'bagus', 'ada', 'pengaturan', 'bass', 'dan', 'trebel', 'bisa', 'pakai', 'kabel', 'aux', 'dan', 'rca', 'semoga', 'awet', '']","['pengiriman', 'cepat', 'speaker', 'berfungsi', 'normal', 'suara', 'bagus', 'ada', 'pengaturan', 'bass', 'dan', 'trebel', 'bisa', 'pakai', 'kabel', 'aux', 'dan', 'rca', 'semoga', 'awet', '']"
Hari ini,POLYTRON Multimedia Speaker PMA 9527 /BA,"kurir ok,  seller ok,  barang ok.  terima kasih. ",kurir ok seller ok barang ok terima kasih ,"['kurir', 'ok', 'seller', 'ok', 'barang', 'ok', 'terima', 'kasih', '']","['kurir', 'ok', 'seller', 'ok', 'barang', 'ok', 'terima', 'kasih', '']"
1 hari lalu,"POLYTRON SMART DIGITAL TV 32""  PLD 32CV1869",terima kasih ya,terima kasih ya,"['terima', 'kasih', 'ya']","['terima', 'kasih', 'ya']"
1 hari lalu,POLYTRON Bluetooth Speaker PMA 9310 /BG,order tgl 4 feb dikirim tgl 16 feb itu pun karna tgl 16 saya ajukan komplain ke tokped. .  bener² memalukan 👎👎👎👎👎 cukup sekali ini aj belanja dsini,order tgl feb dikirim tgl feb itu pun karna tgl saya ajukan komplain ke tokped bener memalukan cukup sekali ini aj belanja dsini,"['order', 'tgl', 'feb', 'dikirim', 'tgl', 'feb', 'itu', 'pun', 'karna', 'tgl', 'saya', 'ajukan', 'komplain', 'ke', 'tokped', 'bener', 'memalukan', 'cukup', 'sekali', 'ini', 'aj', 'belanja', 'dsini']","['order', 'tanggal', 'feb', 'dikirim', 'tanggal', 'feb', 'itu', 'pun', 'karena', 'tanggal', 'saya', 'sajaukan', 'komplain', 'ke', 'tokped', 'benar', 'memalukan', 'cukup', 'sekali', 'ini', 'saja', 'belanja', 'disini']"
1 hari lalu,POLYTRON Mesin Cuci 2 Tabung Giant Series Hijab 8 KG PWM 8076,cakep,cakep,['cakep'],['cakep']
