Nama Pengguna,Produk,Rating,Ulasan,Tanggal
h***O,POLYTRON Mesin Cuci 2 Tabung Giant Series Hijab 8 KG PWM 8076,bintang 5,mantap,Hari ini
hapid,"POLYTRON SMART DIGITAL TV 32""  PLD 32CV1869",bintang 5,"barang original, penerimaan lumbayan cepat.",Hari ini
a***l,POLYTRON Kulkas 1 Pintu Belleza 180 Liter PRA 18J,bintang 5,"very good respond, normal delivery, good quality",Hari ini
T***a,POLYTRON Professional Active Speaker PAS PRO12F6,bintang 5,"barang OK, sistem pengirimannya yg perlu di perhatikan",Hari ini
A***a,POLYTRON Bluetooth Speaker PMA 9321 /B,bintang 5,sudah sampai dan packing aman dan cepat . ongkir nya juga gratis. mantap 👍👍👍👍,Hari ini
d***e,PSR ADL11 SMART REMOTE CONTROL,bintang 1,"Kurir hanya ada pilihan kurir toko, tetapi ternyata memakai jasa KGX.
Tgl 6 pagi order, tgl 7 status sudah diproses dan dikirim (diserahkan ke kurir KGX).
Perlu upaya kom... ",Hari ini
h***h,POLYTRON Mesin Cuci 1 Tabung Zeromatic Laguna Hijab 8 KG PAW 8028,bintang 5,barang sesuai spesifikasi yg di pesan dan pengiriman cepat😉 bismillah awet barang nya,1 hari lalu
Ririn,POLYTRON Smart Cinemax Soundbar LED TV 43 inch PLD 43BAG9953,bintang 5,"beliin ini buat ortu semoga makin heppy dan awet.mesti ada kendala status pengiriman blm di update"" sudah 4 hari 😎 selebih nya mantappp",1 hari lalu
C***k,POLYTRON Smart Cinemax Soundbar TV 32 inch PLD 32BAG9858,bintang 5,enjoy aman,1 hari lalu
Adam,POLYTRON Mesin Cuci 1 Tabung 8 KG PAW 8029Y,bintang 1,"belum genap 1 tahun mesin cuci sudah eror. 
laporan ke service centre tidak kunjung datang teknisinya. no laporan saya CASE/SKM/24/02/08/000005 by the way.",1 hari lalu
Denny,POLYTRON Smart Cinemax Android TV 32 inch PLD 32TAG9855,bintang 5,"barang bagus, garansi mantap 5 tahun",1 hari lalu
I,"POLYTRON Cinemax Soundbar DIGITAL LED TV 32"" PLD 32BV1558",bintang 5,"Paket sudah saya Terima dalam kondisi baik dan sudah dicoba... semuanya normal. 
semoga awet.",1 hari lalu
