Tanggal,Produk,Rating,Label,Ulasan,Cleaning,Tokenizing,Normalisasi,Stopword,Stemming,text
Hari ini,POLYTRON Mesin Cuci 2 Tabung Giant Series Hijab 8 KG PWM 8076,bintang 5,1,mantap,mantap,['mantap'],['mantap'],['mantap'],['mantap'],mantap
Hari ini,"POLYTRON SMART DIGITAL TV 32""  PLD 32CV1869",bintang 5,1,"barang original,  penerimaan lumbayan cepat. ",barang original penerimaan lumbayan cepat,"['barang', 'original', 'penerimaan', 'lumbayan', 'cepat']","['barang', 'original', 'penerimaan', 'lumbayan', 'cepat']","['barang', 'penerimaan', 'lumbayan', 'cepat']","['barang', 'terima', 'lumbayan', 'cepat']",barang terima lumbayan cepat
Hari ini,POLYTRON Kulkas 1 Pintu Belleza 180 Liter PRA 18J,bintang 5,1,"very good respond,  normal delivery,  good quality",very good respond normal delivery good quality,"['very', 'good', 'respond', 'normal', 'delivery', 'good', 'quality']","['very', 'good', 'respond', 'normal', 'delivery', 'good', 'quality']",[],[],sangat bagus respon baik
Hari ini,POLYTRON Professional Active Speaker PAS PRO12F6,bintang 5,1,"barang ok,  sistem pengirimannya yg perlu di perhatikan",barang ok sistem pengirimannya yg perlu di perhatikan,"['barang', 'ok', 'sistem', 'pengirimannya', 'yg', 'perlu', 'di', 'perhatikan']","['barang', 'ok', 'sistem', 'pengirimannya', 'yang', 'perlu', 'di', 'perhatikan']","['barang', 'ok', 'sistem', 'pengirimannya', 'perhatikan']","['barang', 'ok', 'sistem', 'kirim', 'perhati']",barang ok sistem kirim perhati
Hari ini,POLYTRON Bluetooth Speaker PMA 9321 /B,bintang 5,1,sudah sampai dan packing aman dan cepat .  ongkir nya juga gratis.  mantap 👍👍👍👍,sudah sampai dan packing aman dan cepat ongkir nya juga gratis mantap,"['sudah', 'sampai', 'dan', 'packing', 'aman', 'dan', 'cepat', 'ongkir', 'nya', 'juga', 'gratis', 'mantap']","['sudah', 'sampai', 'dan', 'packing', 'aman', 'dan', 'cepat', 'ongkir', 'nya', 'juga', 'gratis', 'mantap']","['packing', 'aman', 'cepat', 'ongkir', 'nya', 'mantap']","['packing', 'aman', 'cepat', 'ongkir', 'nya', 'mantap']",packing aman cepat ongkir nya mantap
Hari ini,PSR ADL11 SMART REMOTE CONTROL,bintang 1,0,"kurir hanya ada pilihan kurir toko,  tetapi ternyata memakai jasa kgx. 
tgl 6 pagi order,  tgl 7 status sudah diproses dan dikirim (diserahkan ke kurir kgx). 
perlu upaya kom. . .  ",kurir hanya ada pilihan kurir toko tetapi ternyata memakai jasa kgx tgl pagi order tgl status sudah diproses dan dikirim diserahkan ke kurir kgx perlu upaya kom,"['kurir', 'hanya', 'ada', 'pilihan', 'kurir', 'toko', 'tetapi', 'ternyata', 'memakai', 'jasa', 'kgx', 'tgl', 'pagi', 'order', 'tgl', 'status', 'sudah', 'diproses', 'dan', 'dikirim', 'diserahkan', 'ke', 'kurir', 'kgx', 'perlu', 'upaya', 'kom']","['kurir', 'hanya', 'ada', 'pilihan', 'kurir', 'toko', 'tetapi', 'ternyata', 'memakai', 'jasa', 'kgx', 'tanggal', 'pagi', 'order', 'tanggal', 'status', 'sudah', 'diproses', 'dan', 'dikirim', 'diserahkan', 'ke', 'kurir', 'kgx', 'perlu', 'upaya', 'kom']","['kurir', 'pilihan', 'kurir', 'memakai', 'jasa', 'kgx', 'tanggal', 'pagi', 'tanggal', 'diproses', 'dikirim', 'diserahkan', 'kurir', 'kgx', 'upaya', 'kom']","['kurir', 'pilih', 'kurir', 'pakai', 'jasa', 'kgx', 'tanggal', 'pagi', 'tanggal', 'proses', 'kirim', 'serah', 'kurir', 'kgx', 'upaya', 'kom']",kurir pilih kurir pakai jasa kgx tanggal pagi tanggal proses kirim serah kurir kgx upaya kom
1 hari lalu,POLYTRON Mesin Cuci 1 Tabung Zeromatic Laguna Hijab 8 KG PAW 8028,bintang 5,1,barang sesuai spesifikasi yg di pesan dan pengiriman cepat😉 bismillah awet barang nya,barang sesuai spesifikasi yg di pesan dan pengiriman cepat bismillah awet barang nya,"['barang', 'sesuai', 'spesifikasi', 'yg', 'di', 'pesan', 'dan', 'pengiriman', 'cepat', 'bismillah', 'awet', 'barang', 'nya']","['barang', 'sesuai', 'spesifikasi', 'yang', 'di', 'pesan', 'dan', 'pengiriman', 'cepat', 'bismillah', 'awet', 'barang', 'nya']","['barang', 'sesuai', 'spesifikasi', 'pesan', 'pengiriman', 'cepat', 'awet', 'barang', 'nya']","['barang', 'sesuai', 'spesifikasi', 'pesan', 'kirim', 'cepat', 'awet', 'barang', 'nya']",barang sesuai spesifikasi pesan kirim cepat awet barang nya
1 hari lalu,POLYTRON Smart Cinemax Soundbar LED TV 43 inch PLD 43BAG9953,bintang 5,1,"beliin ini buat ortu semoga makin heppy dan awet. mesti ada kendala status pengiriman blm di update"" sudah 4 hari 😎 selebih nya mantappp",beliin ini buat ortu semoga makin heppy dan awet mesti ada kendala status pengiriman blm di update sudah hari selebih nya mantappp,"['beliin', 'ini', 'buat', 'ortu', 'semoga', 'makin', 'heppy', 'dan', 'awet', 'mesti', 'ada', 'kendala', 'status', 'pengiriman', 'blm', 'di', 'update', 'sudah', 'hari', 'selebih', 'nya', 'mantappp']","['belikan', 'ini', 'buat', 'orang tua', 'semoga', 'makin', 'heppy', 'dan', 'awet', 'mesti', 'ada', 'kendala', 'status', 'pengiriman', 'belum', 'di', 'update', 'sudah', 'hari', 'selebih', 'nya', 'mantap']","['belikan', 'orang tua', 'semoga', 'heppy', 'awet', 'mesti', 'kendala', 'pengiriman', 'selebih', 'nya', 'mantap']","['belikan', 'orang tua', 'moga', 'heppy', 'awet', 'mesti', 'kendala', 'kirim', 'lebih', 'nya', 'mantap']",belikan orang tua moga heppy awet mesti kendala kirim lebih nya mantap
1 hari lalu,POLYTRON Smart Cinemax Soundbar TV 32 inch PLD 32BAG9858,bintang 5,1,enjoy aman,enjoy aman,"['enjoy', 'aman']","['enjoy', 'aman']",['aman'],['aman'],aman
1 hari lalu,POLYTRON Mesin Cuci 1 Tabung 8 KG PAW 8029Y,bintang 1,0,"belum genap 1 tahun mesin cuci sudah eror.  
laporan ke service centre tidak kunjung datang teknisinya.  no laporan saya case/skm/24/02/08/000005 by the way. ",belum genap tahun mesin cuci sudah eror laporan ke service centre tidak kunjung datang teknisinya no laporan saya caseskm by the way,"['belum', 'genap', 'tahun', 'mesin', 'cuci', 'sudah', 'eror', 'laporan', 'ke', 'service', 'centre', 'tidak', 'kunjung', 'datang', 'teknisinya', 'no', 'laporan', 'saya', 'caseskm', 'by', 'the', 'way']","['belum', 'genap', 'tahun', 'mesin', 'cuci', 'sudah', 'eror', 'laporan', 'ke', 'service', 'centre', 'tidak', 'kunjung', 'datang', 'teknisinya', 'no', 'laporan', 'saya', 'caseskm', 'by', 'the', 'way']","['genap', 'mesin', 'cuci', 'eror', 'laporan', 'centre', 'tidak', 'kunjung', 'teknisinya', 'laporan', 'caseskm']","['genap', 'mesin', 'cuci', 'eror', 'lapor', 'centre', 'tidak', 'kunjung', 'teknisi', 'lapor', 'caseskm']",genap mesin cuci eror lapor centre tidak kunjung teknisi lapor caseskm
