Nama Pengguna,Produk,Rating,Ulasan,Tanggal
R***a,Sanken Dispenser Galon Bawah HWD-C533IC Bottom Loading,bintang 5,Sudah langsung di pasang. Packaging nya rapih. Shipping cepet. Mudah2an awet. Terima kasih,Hari ini
Dimas,Sanken Dispenser Galon Bawah HWD-C533IC Bottom Loading,bintang 5,semua berfungsi,1 hari lalu
dv,Sanken UV Anti Dust Mite Vacuum Cleaner SBV-120C HEPA Vakum Kasur Bed,bintang 3,"vacum mudah panas tidak menyedot debu bahkan rambut pun tidak terhisap. 
baru sebulan udah bau hangit alias gosong.",1 hari lalu
Michael,Sanken Dispenser Galon Bawah HWD-C553IC Xatria Pro Series,bintang 5,"packing oke, barang oke , diskon oke",2 hari lalu
Lembayung,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,baguss barang original,2 hari lalu
Harini,Sanken SJ-150 Magic Com 1.2L - Black,bintang 5,"barang original, Alhamdulillah ga ada defect/kerusakan...udah dicoba nasi matang sempurna. saran aja kl mau masak nasi dlebihin sedikit airnya dari panduan garis yg di po... ",3 hari lalu
Rm,Sanken Dispenser Galon Bawah HWD-C523IC Hitam,bintang 5,"luar biasa barang sesuai, kondisi oke, packing mantap",3 hari lalu
Richardus,Sanken Dispenser Galon Bawah HWD-C533IC Bottom Loading,bintang 5,❤️❤️❤️❤️❤️❤️,3 hari lalu
F***l,Sanken Mesin Cuci 2 Tabung 10Kg TW-1125GMR Deluxe,bintang 2,sangat kecewa dengan pelayanan customer service atau admin online shop yang sangat tidak responsif. menjanjikan ini itu tapi semuanya sama sekali gak ada yang terealisasi... ,4 hari lalu
j***y,Sanken HWD-Z78IC Water Dispenser Duo Gallon,bintang 5,Semoga awet,4 hari lalu
RINTO,Sanken UV Anti Dust Mite Vacuum Cleaner SBV-120C HEPA Vakum Kasur Bed,bintang 4,"kurirnya kurang recomend, seminggu brg tdk dikirim, cari yg lebih baik ya ka, makasi",4 hari lalu
R***o,Sanken Dispenser Galon Bawah HWD-C523IC Hitam,bintang 5,mantap....,5 hari lalu
D***e,Sanken Mesin Cuci 2 Tabung 10Kg TW-1125GMR Deluxe,bintang 5,ok manatap,5 hari lalu
